001,Love Potion,Make someone fall in love with you.,150,amortentia.jpg
002,Invisible Potion,Go invisible!,150
003,Truth Serum,Force the drinker to tell the truth,150
004,Aging Potion,4-ever young,150,agingPotion.jpg
005, Invisible Potion 2, Go invisible!, 150
006, Truth Serum 2, Force the drinker to tell the truth, 150
007, Love Potion, Make someone fall in love with you., 150
008, Invisible Potion, Go invisible!, 150
009, Truth Serum, Force the drinker to tell the truth, 150
010, Love Potion 2, Make someone fall in love with you., 150
011, Invisible Potion 2, Go invisible!, 150
012, Truth Serum 2, Force the drinker to tell the truth, 150
013, Love Potion, Make someone fall in love with you., 150
014, Invisible Potion, Go invisible!, 150
015, Truth Serum, Force the drinker to tell the truth, 150
016, Love Potion 2, Make someone fall in love with you., 150
017, Invisible Potion 2, Go invisible!, 150
018, Truth Serum 2, Force the drinker to tell the truth, 150
